Zip Code,Count
All,53650
00000,81
00005,1
00100,3
00133,1
00199,1
00217,1
00229,1
00233,3
00250,1
00263,1
00265,1
00267,1
00320,1
00330,1
00400,1
00606,1
00622,1
00627,1
00641,1
00646,2
00652,1
00659,1
00678,1
00680,1
00727,2
00736,1
00777,1
00780,1
00784,1
00795,1
00852,1
00907,1
00909,1
00917,1
00920,1
00923,1
00924,2
00926,4
00957,1
00959,1
00969,1
00971,1
00973,1
00976,1
00983,1
00987,1
01000,7
01001,14
01002,6
01005,1
01010,3
01011,1
01014,2
01020,1
01033,2
01038,1
01040,1
01042,1
01060,1
01062,1
01080,1
01093,1
01106,1
01198,1
01201,1
01216,1
01245,1
01254,1
01262,1
01280,1
01354,1
01375,1
01401,1
01403,3
01404,2
01453,1
01463,1
01500,1
01502,1
01503,1
01510,1
01527,1
01532,3
01545,7
01562,1
01568,1
01581,6
01600,1
01604,1
01609,1
01663,1
01700,1
01701,2
01706,1
01715,1
01719,4
01720,14
01721,3
01728,1
01730,3
01740,2
01741,2
01742,3
01745,1
01746,2
01747,1
01748,5
01752,2
01754,1
01756,1
01775,1
01776,3
01778,2
01792,1
01801,2
01808,1
01809,1
01810,8
01821,1
01824,3
01827,1
01830,1
01845,5
01867,1
01876,1
01886,11
01887,2
01890,3
01907,1
01915,1
01930,1
01940,1
01950,1
01970,1
02000,3
02006,1
02019,1
02021,3
02026,1
02032,1
02035,1
02038,2
02052,2
02062,1
02066,2
02067,5
02068,1
02072,1
02100,1
02108,1
02114,3
02115,1
02116,1
02121,1
02122,1
02124,1
02128,3
02129,1
02130,1
02131,4
02132,1
02134,2
02135,2
02136,1
02138,2
02139,2
02140,2
02143,3
02145,2
02148,2
02152,1
02155,2
02169,3
02170,3
02171,1
02176,3
02180,2
02184,1
02186,1
02332,1
02364,2
02370,1
02400,1
02407,1
02420,9
02421,10
02434,1
02445,2
02446,1
02451,1
02452,1
02453,1
02458,5
02459,6
02460,1
02461,1
02464,1
02465,1
02466,2
02467,1
02472,1
02474,3
02478,4
02481,1
02482,1
02492,4
02493,1
02494,1
02532,1
02553,1
02554,1
02583,1
02598,1
02600,2
02645,1
02716,1
02721,3
02760,1
02762,1
02771,2
02790,1
02798,1
02800,1
02806,2
02807,2
02818,2
02827,1
02828,1
02831,1
02834,1
02842,3
02857,1
02860,1
02864,3
02865,1
02879,1
02882,1
02898,1
02906,1
02908,1
02919,2
02920,1
02921,2
02932,1
03000,30
03001,4
03002,6
03003,2
03004,1
03005,2
03015,1
03028,1
03040,1
03042,1
03046,1
03053,2
03054,4
03060,4
03062,5
03064,2
03076,1
03087,1
03100,1
03110,4
03165,3
03200,1
03257,1
03261,1
03269,1
03283,1
03300,2
03303,1
03306,1
03326,1
03383,1
03405,1
03408,1
03410,1
03446,1
03451,1
03455,1
03476,1
03574,1
03600,2
03601,1
03705,1
03709,1
03730,1
03782,1
03801,1
03810,1
03824,1
03833,1
03885,1
03911,1
03936,2
04006,1
04015,1
04017,1
04021,1
04043,1
04059,1
04063,1
04072,1
04075,1
04078,2
04080,2
04091,1
04092,1
04096,1
04100,1
04101,1
04102,1
04103,1
04105,1
04108,1
04114,1
04129,2
04133,1
04194,1
04210,2
04230,1
04240,1
04310,1
04316,2
04323,1
04330,1
04358,1
04384,1
04385,3
04391,1
04400,3
04401,1
04403,1
04418,1
04419,1
04420,1
04425,1
04428,1
04429,1
04449,1
04470,1
04500,1
04562,2
04574,1
04582,1
04593,2
04595,3
04600,2
04605,1
04609,2
04631,1
04671,1
04700,3
04710,1
04716,1
04718,1
04769,1
04778,1
04780,1
04800,4
04810,1
04820,1
04949,1
04964,1
04971,1
04974,1
05000,37
05002,4
05003,4
05004,4
05005,4
05009,2
05018,1
05070,2
05096,2
05116,1
05224,1
05236,1
05268,2
05269,1
05276,1
05281,1
05309,1
05346,1
05359,1
05400,4
05401,2
05410,1
05446,1
05459,1
05468,1
05495,1
05501,1
05502,1
05507,3
05510,3
05553,1
05555,2
05564,1
05571,3
05572,1
05580,1
05600,8
05607,1
05641,1
05649,3
05652,1
05698,3
05700,1
05701,1
05718,2
05730,1
05748,1
05781,1
05785,1
05812,1
05819,1
05848,3
05852,1
06000,3
06001,7
06002,1
06003,1
06004,3
06005,2
06007,1
06010,1
06011,1
06012,3
06013,1
06015,1
06016,1
06018,1
06020,1
06029,3
06032,1
06033,1
06037,1
06040,2
06042,2
06046,1
06059,1
06062,1
06065,1
06066,1
06067,3
06068,1
06070,1
06071,1
06073,1
06074,2
06075,1
06080,1
06084,1
06085,1
06088,2
06089,1
06090,1
06092,2
06095,1
06097,1
06100,6
06107,2
06109,2
06110,1
06111,1
06119,1
06125,1
06132,1
06154,1
06178,1
06200,1
06207,1
06211,1
06213,1
06216,2
06217,1
06250,1
06255,3
06258,1
06264,1
06268,1
06269,1
06276,1
06281,4
06282,1
06284,3
06288,4
06291,1
06292,1
06295,1
06300,8
06301,1
06310,1
06317,1
06330,1
06333,1
06335,1
06344,1
06346,2
06355,4
06356,2
06357,1
06360,2
06370,1
06371,1
06374,1
06376,1
06405,2
06410,2
06414,2
06437,2
06443,2
06450,1
06455,1
06460,3
06468,1
06470,4
06471,1
06482,1
06484,6
06489,2
06492,3
06500,2
06501,1
06511,1
06515,4
06516,2
06519,1
06520,2
06521,1
06524,1
06525,3
06530,3
06544,2
06547,2
06549,1
06550,1
06560,1
06566,1
06575,1
06592,1
06600,10
06601,4
06602,2
06603,1
06609,1
06610,1
06611,1
06614,1
06621,1
06624,1
06626,2
06629,1
06635,1
06641,1
06660,1
06666,1
06680,2
06690,1
06700,2
06701,1
06706,2
06708,1
06714,1
06715,1
06718,1
06720,1
06735,2
06750,1
06751,1
06762,1
06770,1
06776,1
06798,1
06800,5
06801,2
06804,2
06807,2
06810,3
06811,1
06820,2
06824,3
06830,2
06831,1
06840,3
06851,2
06870,1
06878,1
06880,5
06881,1
06883,2
06897,1
06900,1
06902,1
06906,1
06907,3
06910,1
06941,1
06946,1
06952,1
07003,4
07005,1
07006,2
07009,1
07013,1
07016,2
07020,1
07022,2
07023,2
07024,5
07028,1
07029,3
07030,4
07031,1
07034,1
07035,1
07036,2
07039,14
07040,1
07041,3
07042,2
07043,3
07045,2
07046,2
07052,1
07054,6
07055,1
07058,2
07059,1
07063,1
07064,2
07067,2
07069,2
07070,5
07075,1
07076,3
07078,4
07079,1
07080,1
07081,2
07082,2
07086,2
07090,3
07093,3
07094,1
07100,5
07102,1
07105,1
07109,2
07110,1
07111,1
07114,1
07140,1
07204,1
07205,2
07208,2
07209,1
07275,1
07302,9
07304,2
07305,1
07306,4
07307,2
07310,1
07311,1
07336,1
07339,1
07401,1
07403,1
07410,2
07417,3
07423,1
07424,1
07430,3
07435,1
07436,1
07438,1
07439,1
07450,7
07452,3
07458,1
07462,1
07465,1
07470,7
07480,1
07481,1
07500,4
07510,1
07524,1
07534,1
07547,1
07601,3
07605,4
07624,2
07626,3
07627,2
07628,1
07632,1
07641,1
07642,1
07643,1
07645,2
07648,1
07650,3
07651,1
07652,3
07657,4
07666,1
07670,4
07675,3
07677,1
07704,1
07712,1
07719,3
07722,1
07726,4
07728,3
07733,6
07746,4
07748,1
07751,6
07753,1
07760,1
07762,1
07764,1
07809,1
07828,3
07830,1
07834,1
07836,1
07840,3
07849,1
07853,4
07856,1
07860,1
07866,1
07869,1
07871,1
07885,3
07897,1
07901,2
07920,17
07922,1
07927,2
07928,2
07930,1
07931,1
07936,1
07940,2
07945,1
07948,1
07950,5
07960,7
