COUNTRY,UNDERGRADUATE: F,UNDERGRADUATE: M,UNDERGRADUATE: UNK,GRADUATE: F,GRADUATE: M,GRADUATE: UNK,PROFESSIONAL: F,PROFESSIONAL: M,PROFESSIONAL: UNK,ALL
Afghanistan ,0,0,0,1,2,0,0,0,0,3
Albania ,1,0,0,1,1,0,0,0,0,3
Algeria ,0,0,0,1,0,0,0,0,0,1
Argentina ,0,1,0,8,7,0,0,1,0,17
Armenia ,0,0,0,0,1,0,0,0,0,1
Australia ,2,11,0,2,4,0,0,0,0,19
Austria ,4,2,0,2,0,0,0,0,0,8
Azerbaijan ,0,1,0,0,1,0,0,0,0,2
Bahamas ,0,0,0,0,1,0,0,0,0,1
"Bahamas, The ",1,0,0,0,0,0,0,0,0,1
Bahrain ,0,0,0,1,1,0,0,0,0,2
Bangladesh ,3,4,0,40,64,0,0,0,0,111
Barbados ,0,0,0,0,0,0,1,0,0,1
Belarus ,1,0,0,3,3,0,0,0,0,7
Belgium ,0,2,0,0,2,0,0,0,0,4
Belize ,0,1,0,0,0,0,0,0,0,1
Benin ,0,0,0,0,3,0,0,0,0,3
Bermuda ,0,0,0,0,0,0,1,0,0,1
Bolivia ,0,1,0,3,5,0,0,0,0,9
Bosnia and Herzegovi ,0,1,0,0,0,0,0,0,0,1
Brazil ,11,11,1,31,47,0,0,1,0,102
Bulgaria ,1,1,0,0,0,0,0,0,0,2
Burkina Faso ,0,0,0,0,1,0,0,0,0,1
Burma ,0,0,0,0,1,0,0,0,0,1
Burundi ,0,0,0,1,0,0,0,0,0,1
Cambodia ,0,0,0,0,1,0,0,0,0,1
Cameroon ,0,0,0,1,1,0,0,0,0,2
Canada ,9,31,0,30,61,0,2,2,0,135
Chile ,0,3,0,4,9,0,0,0,0,16
China ,831,1810,0,943,1482,5,7,8,0,5086
Colombia ,2,2,0,24,22,0,0,0,0,50
Congo (Kinshasa) ,0,2,0,1,1,0,0,0,0,4
Costa Rica ,0,0,0,2,5,0,0,0,0,7
Cote D'Ivoire ,0,0,0,0,2,0,0,0,0,2
Croatia ,0,1,0,0,0,0,0,0,0,1
Cyprus ,1,1,0,0,1,0,0,0,0,3
Czech Republic ,0,1,0,1,0,0,0,0,0,2
Denmark ,0,3,0,0,1,0,0,0,0,4
Dominican Republic ,0,0,0,3,4,0,0,0,0,7
Ecuador ,1,4,0,6,11,0,0,0,0,22
Egypt ,1,4,0,12,30,0,0,0,0,47
El Salvador ,0,0,0,3,3,0,0,0,0,6
Estonia ,0,1,0,0,0,0,0,0,0,1
Eswatini (Swaziland) ,0,0,0,0,1,0,0,0,0,1
Ethiopia ,0,0,0,1,0,0,0,0,0,1
Finland ,1,0,0,0,1,0,0,0,0,2
France ,8,8,0,1,7,0,0,0,0,24
Gambia ,0,0,0,1,0,0,0,0,0,1
Gaza Strip ,0,0,0,1,1,0,0,0,0,2
Georgia ,0,0,0,2,0,0,0,0,0,2
Germany ,4,8,0,3,5,0,0,0,0,20
Ghana ,1,0,0,5,14,1,1,0,0,22
Greece ,0,1,0,9,17,0,0,0,0,27
Guatemala ,0,1,0,0,1,0,0,0,0,2
Honduras ,0,0,0,2,6,0,0,0,0,8
Hong Kong (China) ,10,13,0,5,18,0,2,0,0,48
Hungary ,0,0,0,1,1,0,0,0,0,2
India ,203,549,0,682,1162,2,2,4,0,2604
Indonesia ,23,41,0,15,28,0,0,0,0,107
Iran ,0,0,0,42,56,0,0,0,0,98
Iraq ,0,1,0,0,0,0,0,0,0,1
Ireland ,7,8,0,0,2,0,0,0,0,17
Israel ,0,0,0,1,5,0,0,0,0,6
Italy ,6,12,0,9,13,0,0,0,0,40
Jamaica ,0,0,0,2,2,0,0,0,0,4
Japan ,10,25,0,4,21,0,0,0,0,60
Jordan ,1,0,0,4,10,0,0,0,0,15
Kazakhstan ,0,3,0,15,7,0,0,0,0,25
Kenya ,1,1,0,5,5,0,0,0,0,12
Kuwait ,0,1,0,1,2,0,0,0,0,4
Kyrgyzstan ,0,0,0,0,1,0,0,0,0,1
Latvia ,0,2,0,1,0,0,0,0,0,3
Lebanon ,2,1,0,10,16,0,0,0,0,29
Libya ,0,0,0,1,2,0,0,0,0,3
Lithuania ,1,0,0,0,0,0,0,0,0,1
Macau ,0,1,0,0,0,0,0,0,0,1
Malawi ,0,0,0,2,0,0,0,0,0,2
Malaysia ,17,22,0,3,13,0,0,0,0,55
Malta ,0,1,0,0,0,0,0,0,0,1
Mauritius ,0,0,0,0,1,0,0,0,0,1
Mexico ,5,4,0,14,30,0,0,0,0,53
Mongolia ,4,4,0,2,1,0,0,0,0,11
Morocco ,0,0,0,1,0,0,0,0,0,1
Nepal ,1,0,0,5,17,0,0,0,0,23
Netherlands ,2,1,0,1,4,0,0,0,0,8
New Zealand ,4,2,0,1,2,0,0,0,0,9
Nicaragua ,0,0,0,0,2,0,0,0,0,2
Nigeria ,6,3,0,36,49,0,0,0,0,94
Oman ,0,2,0,0,0,0,0,0,0,2
Pakistan ,3,13,0,25,54,0,0,0,0,95
"Palestine, State of ",0,0,0,0,1,0,0,0,0,1
Panama ,0,4,0,1,4,0,0,0,0,9
Paraguay ,0,0,0,3,1,0,0,0,0,4
Peru ,3,2,0,6,11,1,0,0,0,23
Philippines ,1,3,0,8,5,0,0,0,0,17
Poland ,0,0,0,0,1,0,1,0,0,2
Portugal ,0,3,0,0,1,0,0,0,0,4
Romania ,0,0,0,0,1,0,0,0,0,1
Russia ,2,11,0,14,10,0,0,0,0,37
Saudi Arabia ,14,34,0,10,17,0,0,0,0,75
Senegal ,1,0,0,0,1,0,0,0,0,2
Serbia ,1,0,0,1,3,0,0,0,0,5
Sierra Leone ,0,0,0,1,1,0,0,0,0,2
Singapore ,12,33,0,10,22,0,0,0,0,77
Slovenia ,0,0,0,0,1,0,0,0,0,1
South Africa ,1,1,0,2,2,0,0,0,0,6
South Korea ,158,297,0,189,225,0,11,6,0,886
Spain ,23,33,0,16,9,0,0,0,0,81
Sri Lanka ,0,0,0,4,8,0,0,0,0,12
St Kitts and Nevis ,0,0,0,0,1,0,0,0,0,1
Sweden ,4,5,0,5,0,0,0,0,0,14
Switzerland ,1,2,0,0,0,0,0,0,0,3
Syria ,1,0,0,0,0,0,0,0,0,1
Taiwan ,33,115,0,113,148,0,0,3,0,412
Tanzania ,0,0,0,0,3,0,0,0,0,3
Thailand ,12,40,0,12,14,0,0,0,0,78
Trinidad and Tobago ,0,0,0,0,1,0,0,0,0,1
Tunisia ,0,0,0,0,1,0,0,0,0,1
Turkey ,6,31,0,30,34,0,0,0,0,101
Uganda ,0,0,0,1,5,0,0,0,0,6
Ukraine ,1,1,0,5,4,0,0,0,0,11
United Arab Emirates ,3,3,0,0,0,0,0,0,0,6
United Kingdom ,13,15,0,5,20,0,0,0,0,53
Uruguay ,0,0,0,2,2,0,0,0,0,4
Uzbekistan ,0,1,0,0,3,0,0,0,0,4
Venezuela ,1,2,0,5,4,0,0,0,0,12
Vietnam ,7,23,0,14,23,0,0,0,0,67
Yemen ,0,0,0,0,1,0,0,0,0,1
Zambia ,0,0,0,0,2,0,0,0,0,2
Zimbabwe ,0,1,0,1,3,0,0,0,0,5
Unknown ,6,3,0,16,15,0,0,0,0,40
All ,1493,3290,1,2511,3963,9,28,25,0,11320
